ke_stddev,u_average,u_stddev,v_average,v_stddev,w_average,w_stddev,isoQ_average,isoQ_stddev,vortmag_average,vortmag_stddev,pressure_average,pressure_stddev,viscosity_average,viscosity_stddev,density_average,density_stddev,volfrac_average,volfrac_stddev,dpm_u_average,dpm_u_stddev,dpm_v_average,dpm_v_stddev,dpm_w_average,dpm_w_stddev,vtkGhostType_average,vtkGhostType_stddev,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,vtkOriginalIndices,__vtkIsSelected__
0.00457345,0.000349104,0.0184643,0.00112534,0.0558392,-0.0603016,0.0745945,-54.8136,54.9517,14.2009,4.5283,1928.34,6.31723,0.0152452,0.00412922,995.161,9.68009,1,0,-0.000359181,0.00417924,0.000314157,0.0026271,0.00534958,0.021197,0,0,1,0.00555,0.00555,0.075,0.25,37,0
0.00466091,0.00030407,0.0189563,0.00114619,0.0561553,-0.0600201,0.0752978,-54.5445,55.1457,14.0087,4.51396,1928.32,6.32016,0.0150756,0.00411166,995.141,9.69334,1,0,-0.000358781,0.00419714,0.000319402,0.00262217,0.00537281,0.0212433,0,0,1,0.0057,0.0057,0.075,0.25,38,0
0.00474837,0.000259036,0.0194484,0.00116705,0.0564714,-0.0597386,0.0760012,-54.2753,55.3397,13.8166,4.49962,1928.29,6.3231,0.014906,0.0040941,995.122,9.70659,1,0,-0.00035838,0.00421504,0.000324647,0.00261724,0.00539604,0.0212897,0,0,1,0.00585,0.00585,0.075,0.25,39,0
0.00483582,0.000214002,0.0199404,0.00118791,0.0567874,-0.059457,0.0767046,-54.0061,55.5337,13.6245,4.48529,1928.27,6.32603,0.0147364,0.00407653,995.102,9.71984,1,0,-0.000357979,0.00423294,0.000329892,0.0026123,0.00541927,0.021336,0,0,1,0.006,0.006,0.075,0.25,40,0
0.00492328,0.000168968,0.0204325,0.00120877,0.0571035,-0.0591755,0.0774079,-53.737,55.7277,13.4324,4.47095,1928.24,6.32896,0.0145667,0.00405897,995.083,9.73309,1,0,-0.000357579,0.00425084,0.000335138,0.00260737,0.0054425,0.0213824,0,0,1,0.00615,0.00615,0.075,0.25,41,0
0.00501074,0.000123934,0.0209245,0.00122963,0.0574196,-0.058894,0.0781113,-53.4678,55.9218,13.2403,4.45661,1928.22,6.33189,0.0143971,0.00404141,995.063,9.74634,1,0,-0.000357178,0.00426875,0.000340383,0.00260244,0.00546573,0.0214287,0,0,1,0.0063,0.0063,0.075,0.25,42,0
0.0050982,7.88998e-05,0.0214166,0.00125048,0.0577356,-0.0586124,0.0788147,-53.1987,56.1158,13.0482,4.44227,1928.2,6.33482,0.0142275,0.00402385,995.044,9.75959,1,0,-0.000356777,0.00428665,0.000345628,0.00259751,0.00548896,0.021475,0,0,1,0.00645,0.00645,0.075,0.25,43,0
0.00518566,3.38659e-05,0.0219086,0.00127134,0.0580517,-0.0583309,0.0795181,-52.9295,56.3098,12.8561,4.42793,1928.17,6.33775,0.0140579,0.00400629,995.024,9.77284,1,0,-0.000356376,0.00430455,0.000350873,0.00259258,0.00551219,0.0215214,0,0,1,0.0066,0.0066,0.075,0.25,44,0
0.00527312,-1.11682e-05,0.0224007,0.0012922,0.0583677,-0.0580494,0.0802214,-52.6603,56.5038,12.6639,4.4136,1928.15,6.34068,0.0138882,0.00398873,995.005,9.78609,1,0,-0.000355976,0.00432245,0.000356118,0.00258764,0.00553542,0.0215677,0,0,1,0.00675,0.00675,0.075,0.25,45,0
0.00536058,-5.62021e-05,0.0228928,0.00131306,0.0586838,-0.0577679,0.0809248,-52.3912,56.6979,12.4718,4.39926,1928.13,6.34361,0.0137186,0.00397117,994.985,9.79933,1,0,-0.000355575,0.00434035,0.000361363,0.00258271,0.00555865,0.0216141,0,0,1,0.0069,0.0069,0.075,0.25,46,0
0.00544804,-0.000101236,0.0233848,0.00133392,0.0589999,-0.0574863,0.0816282,-52.122,56.8919,12.2797,4.38492,1928.1,6.34654,0.013549,0.00395361,994.966,9.81258,1,0,-0.000355174,0.00435825,0.000366608,0.00257778,0.00558188,0.0216604,0,0,1,0.00705,0.00705,0.075,0.25,47,0
0.0055355,-0.00014627,0.0238769,0.00135477,0.0593159,-0.0572048,0.0823315,-51.8529,57.0859,12.0876,4.37058,1928.08,6.34947,0.0133794,0.00393604,994.947,9.82583,1,0,-0.000354774,0.00437615,0.000371853,0.00257285,0.00560511,0.0217068,0,0,1,0.0072,0.0072,0.075,0.25,48,0
0.00562296,-0.000191304,0.0243689,0.00137563,0.059632,-0.0569233,0.0830349,-51.5837,57.2799,11.8955,4.35625,1928.05,6.3524,0.0132097,0.00391848,994.927,9.83908,1,0,-0.000354373,0.00439405,0.000377098,0.00256792,0.00562834,0.0217531,0,0,1,0.00735,0.00735,0.075,0.25,49,0
