x_comp,u_average,u_stddev,v_average,v_stddev,w_average,w_stddev
0.03525,-0.0209685,0.0861816,0.000340907,0.074812,0.0870374,0.183704
0.0354,-0.021107,0.0862826,0.000249295,0.0748744,0.0878956,0.183657
0.03555,-0.0212455,0.0863837,0.000157683,0.0749369,0.0887538,0.18361
0.0357,-0.021384,0.0864848,6.60691e-05,0.0749993,0.089612,0.183563
0.03585,-0.0215225,0.0865858,-2.55428e-05,0.0750617,0.0904702,0.183516
0.036,-0.021661,0.0866869,-0.000117155,0.0751242,0.0913284,0.183469
0.03615,-0.0217995,0.086788,-0.000208769,0.0751866,0.0921867,0.183423
0.0363,-0.0219381,0.086889,-0.000300381,0.075249,0.0930449,0.183376
0.03645,-0.0220766,0.0869901,-0.000391993,0.0753115,0.0939031,0.183329
0.0366,-0.0222151,0.0870911,-0.000483607,0.0753739,0.0947613,0.183282
0.03675,-0.0223536,0.0871922,-0.000575219,0.0754363,0.0956195,0.183235
0.0369,-0.0224921,0.0872933,-0.000666831,0.0754988,0.0964777,0.183188
0.03705,-0.0226306,0.0873943,-0.000758445,0.0755612,0.097336,0.183141
0.0372,-0.0227691,0.0874954,-0.000850057,0.0756236,0.0981942,0.183094
0.03735,-0.0229076,0.0875965,-0.000941669,0.075686,0.0990524,0.183047
0.0375,-0.0230461,0.0876975,-0.00103328,0.0757485,0.0999106,0.183
0.03765,-0.0231444,0.0878442,-0.00110449,0.0760715,0.100719,0.182838
0.0378,-0.0232426,0.0879909,-0.0011757,0.0763945,0.101527,0.182676
0.03795,-0.0233409,0.0881377,-0.00124691,0.0767176,0.102335,0.182514
0.0381,-0.0234392,0.0882844,-0.00131812,0.0770406,0.103143,0.182352
0.03825,-0.0235374,0.0884311,-0.00138933,0.0773636,0.103952,0.18219
0.0384,-0.0236357,0.0885778,-0.00146054,0.0776867,0.10476,0.182028
0.03855,-0.023734,0.0887245,-0.00153175,0.0780097,0.105568,0.181866
0.0387,-0.0238323,0.0888712,-0.00160295,0.0783327,0.106376,0.181704
0.03885,-0.0239305,0.0890179,-0.00167416,0.0786557,0.107184,0.181542
0.039,-0.0240288,0.0891647,-0.00174537,0.0789788,0.107993,0.18138
0.03915,-0.0241271,0.0893114,-0.00181658,0.0793018,0.108801,0.181218
0.0393,-0.0242253,0.0894581,-0.00188779,0.0796248,0.109609,0.181056
